City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,San Andres,CO,2021-04-25 14:09:12,12.5847,-81.7006,84.2,70,20,12.66,few clouds
183,Marsaxlokk,MT,2021-04-25 14:09:12,35.8419,14.5431,66.2,59,20,9.22,few clouds
184,Hayange,FR,2021-04-25 14:09:13,49.3343,6.0527,59.0,38,0,13.8,clear sky
185,Bowling Green,US,2021-04-25 14:06:50,36.9903,-86.4436,55.99,76,90,5.75,haze
186,Buala,SB,2021-04-25 14:09:14,-8.145,159.5921,80.35,81,29,1.97,scattered clouds
187,Moerai,PF,2021-04-25 14:09:14,-22.4333,-151.3333,75.67,66,63,8.68,broken clouds
188,Inhambane,MZ,2021-04-25 14:09:14,-23.865,35.3833,80.74,66,0,12.19,clear sky
189,Tombouctou,ML,2021-04-25 14:09:15,20.0,-3.0,104.83,8,73,2.84,broken clouds
190,Mariakani,KE,2021-04-25 14:09:15,-3.8633,39.4736,86.0,66,20,10.36,few clouds
191,Poso,ID,2021-04-25 14:09:16,-1.3959,120.7524,76.73,89,88,5.23,overcast clouds
192,Hofn,IS,2021-04-25 14:09:16,64.2539,-15.2082,44.6,81,90,4.61,moderate rain
193,Manggar,ID,2021-04-25 14:09:16,-2.8833,108.2667,81.66,74,98,4.65,overcast clouds
194,Chitral,PK,2021-04-25 14:09:17,35.8462,71.7858,63.61,41,14,4.12,few clouds
195,Leningradskiy,RU,2021-04-25 14:06:58,69.3833,178.4167,13.82,89,16,5.37,few clouds
196,Great Yarmouth,GB,2021-04-25 14:09:17,52.6083,1.7305,51.01,57,75,13.8,broken clouds
197,Puma,TZ,2021-04-25 14:09:18,-5.0,34.7333,68.67,75,100,9.1,light rain
198,Bambous Virieux,MU,2021-04-25 14:09:18,-20.3428,57.7575,78.8,78,75,16.11,light rain
199,Maragogi,BR,2021-04-25 14:09:18,-9.0122,-35.2225,83.32,67,30,8.88,scattered clouds
200,Klaksvik,FO,2021-04-25 14:09:19,62.2266,-6.589,50.0,71,100,12.66,overcast clouds
201,Subaan,PH,2021-04-25 14:09:19,13.0765,121.3647,78.01,87,65,4.94,broken clouds
202,Ilulissat,GL,2021-04-25 14:09:19,69.2167,-51.1,48.2,43,40,26.46,scattered clouds
203,Santa Rosa,PH,2021-04-25 14:09:20,14.3122,121.1114,84.2,74,20,6.91,few clouds
204,Suez,EG,2021-04-25 14:09:20,29.9737,32.5263,94.23,11,0,9.17,clear sky
